Society,Facebook_Link,Facebook_ID,Category,Likes
Business School Society,www.facebook.com/SydneyUniversityBusinessSociety/home,SydneyUniversityBusinessSociety,Course-Related,7003
Law Society,http://www.facebook.com/SydneyUniversityLawSociety/?fref=ts,SydneyUniversityLawSociety,Course-Related,6327
SUBSKI,https://www.facebook.com/subski/,subski,Sports-Recreation,5990
Sydney Arts Students Society,https://www.facebook.com/sydneyartssociety,sydneyartssociety,Course-Related,4395
Banter and Meme Society,www.facebook.com/banterandmemes,banterandmemes,Just-for-fun,4299
Fashion and Beauty Society,http://www.facebook.com/fabsoc.sydney,fabsoc.sydney,Just-for-fun,3475
Movement and Dance Society,http://www.facebook.com/madsocusyd/,madsocusyd,Arts,3441
Dramatic Society,www.facebook.com/SUDSusyd/,SUDSusyd,Arts,3179
Financial Management Association of Australia (FMAA),http://https://www.facebook.com/FMAASydney,FMAASydney,Professional-Development,3050
Engineering Undergraduate Association,https://www.facebook.com/SU.Engineers/,SU.Engineers,Course-Related,2718
Marketing Society (SMS),https://www.facebook.com/smsociety,smsociety,Professional-Development,2611
Education and Social Work Society (EDSOC),https://www.facebook.com/USydEDSOC,USydEDSOC,Course-Related,2541
Economics and Econometrics,http://facebook.com/usydecosoc,usydecosoc,Course-Related,2399
Radio Group,https://facebook.com/SURGFM.USYD,SURGFM.USYD,Just-for-fun,2374
The University of Sydney Quidditch Club,https://www.facebook.com/USydQuidditch/,USydQuidditch,Sports-Recreation,2260
Medical Society,https://www.facebook.com/sydneyuniversitymedicalsociety/,sydneyuniversitymedicalsociety,Course-Related,2179
Shades,https://www.facebook.com/sushades/,sushades,Just-for-fun,2169
Science Society,http://www.facebook.com/usydscisoc,usydscisoc,Course-Related,2097
180 Degrees Consulting,https://www.facebook.com/180DegreesSydneyUniversity/,180DegreesSydneyUniversity,Professional-Development,2078
Film Society,http://https://www.facebook.com/Filmsoc.USyd/,Filmsoc.USyd,Just-for-fun,2075
